event_date,event_name,event_photo_url,event_purpose,event_report_url,event_tweet_url,event_video_url,has_event_report,latitude,longitude,online_event_url,organisers,place,slug,url,world_region_code,world_region_text
,Conversatorio: Inteligencia Artificial y Realidad Virtual. Oportunidades de desarrollo de Venezuela,,a sharing between researchers and the public that will serve as a basis for future research and events to develop the topic in the country. ,,,,False,10.222452,-68.010074,,Centro Latinoamericano de Investigaciones Sobre Internet (CLISI) info@clisi.org https://clisi.org/,Libreria La Alegria - Valencia - Venezuela,conversatorio-inteligencia-artificial-y-realidad-virtual-oportunidades-de-desa,https://forms.gle/XB4aCBr5Fw88fmaW8,,
,Council Open Data Day Celebration,,Celebrate the use of open data,,,,False,-27.470869,153.022736,,Brisbane City Council - opendata@brisbane.qld.gov.au,"Brisbane, QLD",council-open-data-day-celebration,https://data.brisbane.qld.gov.au,,
,"Cтратегічна сесія високого рівня ""Відкриті дані: зараз та для післявоєнної відбудови"" - High-level strategic session ""Open data: now and for post-war reconstruction""",,Establishing a strategic dialogue between the main stakeholders in the open data sphere of Ukraine. Determining the priorities of open data for the post-war reconstruction of Ukraine,,,,False,50.455903,30.521885,,Ministry of Digital Transformation of Ukraine,Kyiv,ctrategichna-sesiia-visokogo-rivnia-vidkriti-dani-zaraz-ta-dlia-pisliavoiennoyi-vidbu,https://diia.data.gov.ua/,,
,Dados abertos e LAI no âmbito do Estado de Minas Gerais,,"[Gostaria de realizar o evento mesmo sem o auxílio, com uma data mais adiante para dar tempo de organizar] Discuss the state of the art on open data and access to public information within the State of Minas Gerais, as well as civic innovation initiatives and public policy proposals to expand open data in government agencies.",,,,False,-18.91699,-48.25987,,Ana Paula de Moraes Teixeira,Uberlândia - MG (Universidade Federal),dados-abertos-e-lai-no-ambito-do-estado-de-minas-gerais,,,
,Data Camp 2023,,"Promote the use of data to generate solutions to problems that perpetuate gender inequality. Contribute to the fusion of technological communities and activists for the rights of women and the LGTBIQ communities. Make visible the existing gap between the genders regarding opportunities to access economic, social, cultural and political resources to contribute to gender equality. Promote the design of solutions with social impact.",,,,False,-30.87237,-61.3503,,Fundación Conocimiento Abierto (FCA) organizado por Florencia Ferro florenciaferro@fcabierto.org,Ciudad Autónoma de Buenos Aires,data-camp-2023,https://www.eventbrite.com.ar/e/526696763197,,
,Data Duran Datathon,,To bring all the data community and share their experiences and know how through data based hackathon event,,,,False,47.922469,106.929855,,"TenGer TV (delgerzaya@tngr.tv, uundaa@tngr.tv)","Ulaanbaatar, Mongolia",data-duran-datathon,,,
,Data on evironmental practices which enhance sustainable farming ,,promote Environmental conservation practices which increase food production ,,,,False,0.4063586,32.4289285,,"KIYITA FOUNDATION .
phionah2015@gmail.com
Phionah Nalumansi ",uganda kampala wakiso district ,data-on-evironmental-practices-which-enhance-sustainable-farming,,,
,Data Visualizing Global Internet Speed & Quality,,Training on internet measurement and data visualization of M-Lab's open data set of 9million measurements per day,,,,False,40.751,-73.97388,,"Katherine Townsend, Measurement Lab: Katherine@measurementlab.net","New York City, NY, USA",data-visualizing-global-internet-speed-quality,https://bit.ly/mlabdataviz2023,,
,Data Week: De los datos comunitarios a los chatbots (ENG: Data Week: From community data to chatbots),,Promoting critical civic participation around machine training (A.I.). We’re going to prototype interconnections between grassroots wikis/interactive documentation via chat-bots. This is part of our effort (since 2015) to use moldable metatools for amplifiying grassroots agency.,,,,False,4.631365,-74.066126,,Grafoscopio Community,"Bogotá, Colombia. HackBo.",data-week-de-los-datos-comunitarios-a-los-chatbots-eng-data-week-from-commun,https://docutopia.sustrato.red/dataweek:16,,
,Datathon sur wikirate,,Récolter des données financières sur les grandes entreprises françaises,,,,False,48.85789,2.36947,,Le Basic et Oxfam,Paris,datathon-sur-wikirate,https://www.agendadulibre.org/events/26857,,
,Datenspaziergang „Daten ober und unter der Erde“ ,,Bei einem Spaziergang durch einen Teil der Wiener Innenstadt bis zum Parlament werden Daten sichtbar gemacht.,,,,False,48.20815,16.36634,,Stadt Wien,Vienna,datenspaziergang-daten-ober-und-unter-der-erde,https://digitales.wien.gv.at/open-data-days-2023/,,
,Datopolis - The Open Data Board Game,,"If you would like to play the Open Data Institute's (ODI) Datopolis game about open data, I will host a game at your office or a cafe. Datopolis one of the few and rare games in the center of the Venn diagram of 'Game,' 'Educational,' and 'Good.' Invite your team, peers, and the leaders you want to communicate with about open data. Eamil cathi.greenwood@watech.wa.gov talk scheduling.",,,,False,47.03553,-122.900833,,Washington State Open Data Program,Olympia WA,datopolis-the-open-data-board-game,,,
,Datos abiertos con perspectiva de género,,Para todos los interesados en los datos con perspectiva de género,,,,False,39.470242,-0.3768,,Observatorio Valenciano de Datos abiertos y Transparencia y Cátedra de Gobernanza de la ciudad de Valencia,Valencia,datos-abiertos-con-perspectiva-de-genero,https://www.ctranspa.webs.upv.es/datos-abiertos-mujeres/jornada-datos-genero/,,
,Datos abiertos para la inclusión y el cuidado en Bogotá,,"Conversar sobre los #DatosQueCuidanBogotá a través de conferencias, debates y retos ciudadanos destacando el rol de la información y los datos para la inclusión social y el cuidado en Bogotá",,,,False,4.648293,-74.062193,,"Alcaldía Mayor de Bogotá D.C. - Fundación Universitaria Konrad Lorenz

Contacto:  famartinezg@alcaldiabogota.gov.co - jfurrea@alcaldiabogota.gov.co","Carrera 9 Bis No. 62-43. Bogotá, Colombia.",datos-abiertos-para-la-inclusion-y-el-cuidado-en-bogota,,,
,Datos abiertos y cambio climático,,"Se realizará el 1° de marzo el lanzamiento de la tercera fase del proyecto de apertura y publicación de datos sobre el Cambio Climático. Se buscará realizar un mapeo y plan de publicación de datos que puedan contribuir a la acción climática, integrando a diferentes actores del Estado. ",,,,False,-34.907219,-56.200383,,AGESIC y Ministerio de Ambiente,Montevideo,datos-abiertos-y-cambio-climatico,,,
,Datos Abiertos y Cambio Climático,,"El lanzamiento de la tercera fase del proyecto de apertura y publicación de datos sobre el Cambio Climático. Se buscará realizar un mapeo y plan de publicación de datos que puedan contribuir a la acción climática, integrando a diferentes actores del Estado.",,,,False,-34.907835,-56.200121,,AGESIC - DINACC,Sala Multifunción 2 de Torre Ejecutiva Sur,datos-abiertos-y-cambio-climatico-2,https://www.gub.uy/agencia-gobierno-electronico-sociedad-informacion-conocimiento/comunicacion/calendario-actividades/datos-abiertos-cambio-climatico,,
,Datos y Birras Cali,,"Datos y Birras es un espacio para compartir ideas y proyectos relacionados a los datos abiertos, transparencia, acceso a la información, inteligencia artificial, entre otros temas. Se realizará el próximo Jueves 9 de marzo a las 7:00 pm en La Casa de las Burbujas (Cra 9 # 2 - 96 Barrio San Antonio). Este evento es organizado por la Comunidad de Datos Abiertos de Cali, organización no formalizada de la sociedad civil que promueve la apertura, uso y reuso de los datos abiertos en Santiago de Cali.",,,,False,3.451647,-76.531982,,Comunidad de datos Abiertos de Cali,Santiago de Cali,datos-y-birras-cali,https://bit.ly/datosybirrascali,,
,Designing for Data Rights in the AI Production Pipeline,,We hope to create space for interactive discussion and brainstorming that makes community members and data contributors the experts in shaping a coherent and comprehensive AI governance plan based on the criteria most important to them and their communities.,,,,False,51.529972,-0.127676,,"Jennifer Ding - jding@turing.ac.uk
Anne Lee Steele - asteele@turing.ac.uk","Online - London, UK",designing-for-data-rights-in-the-ai-production-pipeline,https://turing-uk.zoom.us/meeting/register/tJYqdOyurT8sHtfR9eO57DI2WbD8K2mCcvHl,,
,Detroit Open Data Challenge 2023`,,"In brief, we are asking anyone curious about City of Detroit data to send us a visual representation (chart, graph, map, infographic, etc.) of insights they garner through engaging our open datasets. We will use one submission in our Annual Report, and the rest will be showcased on the Detroit ODP.",,,,False,42.331429,-83.045753,,"City of Detroit (Djennin Casab, djennin.casab@detroitmi.gov)","Detroit, Michigan, USA",detroit-open-data-challenge-2023,https://data.detroitmi.gov/pages/open-data-day-2023,,
,Detroit Open Data Day Challenge,,"We are asking anyone curious about City of Detroit data to send us a visual representation (chart, graph, map, infographic, etc.) of insights they garner through engaging our open datasets. We will use one submission in our Annual Report, and the rest will be showcased on the Detroit ODP.",,,,False,42.331429,-83.045753,,"City of Detroit (Michigan, USA)",online,detroit-open-data-day-challenge,https://data.detroitmi.gov/pages/open-data-day-2023,,
,Detroit Open Data Day Challenge,,"As a reminder, we are asking users to send us a visual representation (chart, graph, map, etc.) of insights they garner through engaging our open datasets.  We will use one submission in our Annual Report, and the rest will be showcased on the ODP.",,,,False,42.332939,-83.047836,,"City of Detroit (Djennin Casab, djennin.casab@detroitmi.gov)","Detroit, Michigan, USA",detroit-open-data-day-challenge-2,https://data.detroitmi.gov/pages/open-data-day-2023,,
,DIA DO DADOS ABERTOS 2023,,Create a study and promotion group for Open Data in my city.,,,,False,-11.182395,-40.53694,,contato@valessiobrito.com.br /   Valessio Brito ,"IFBA Jacobina, Jacobina, Bahia, Brazil",dia-do-dados-abertos-2023,https://manifestajacobina.com.br/dadosabertos,,
,"Discussion on digital nature and open data.
Trends in public open data around Sasebo and how to use it in tableau.",,The importance of open data in the future with generative AI and the expanding use of open data.,,,,False,33.164962,129.720899,,"Code 4 Sasebo,万津6区公会堂,REPORT SASEBO,プロトタイプ勉強会",https://goo.gl/maps/xqCPabRxqgHJZJ2J8,discussion-on-digital-nature-and-open-data-trends-in-public-open-data-around-sa,https://connpass.com/event/275981/,,
,Día de Datos Abiertos Mérida 2023,,,,,,False,20.96778,-89.62426,,Laboratorio de Políticas para la Seguridad y el Desarrollo,"Mérida, Yucatán, México",dia-de-datos-abiertos-merida-2023,https://seguridadydesarrollo.org/open-data-day,,
,Ecosistema de Datos Abiertos ¿Qué hemos alcanzado hasta ahora?,,"Stimulate the debate about the results obtained after 10 years since the promotion of open data in Chile; as well as the upcoming challenges to take into account, both at a political and regulatory level.",,,,False,-33.442671,-70.654671,,Fundación Abriendo Datos y Flacso Chile,Santiago,ecosistema-de-datos-abiertos-que-hemos-alcanzado-hasta-ahora,https://forms.office.com/pages/responsepage.aspx?id=9Pm-56f34UilTg7XcZuQbTRqmdMfv3xMvHhJIrgAPHRUN0M4RktNSk83S0I3UEMyME03VEtOTEZIMy4u&origin=QRCode,,
,Empowering Swahili Language: Training and Testing of Common Voice Dataset Workshop,,Demonstrarate how to use the common voice swahili dataset,,,,False,-4.0633114,39.677706,,Swahilipot Hub Foundation,Swahilipot Hub,empowering-swahili-language-training-and-testing-of-common-voice-dataset-worksh,,,
,Enhance your DATA SKILL,,The Open Data Day event is important to the data community.It is a way to help data enthusiasts meet face to face to work and learn together.,,,,False,25.173656,75.856886,,"G.T.RAO , KOTA ,RAJASTHAN, INDIA email: fossyatra@gmail.com","KOTA ,RAJASTHAN,INDIA",enhance-your-data-skill,https://fossyatra.wordpress.com,,
,Enhancing Nepali Youth’s Awareness on Climate Change through AI Technology (ENACT),,To enhance awareness among Nepali youth/students regarding climate change through the use of open data and AI technology.,,,,False,26.5333,86.733299,,Nepal Institute of Research and Communications (NIRC),Rajbiraj,enhancing-nepali-youths-awareness-on-climate-change-through-ai-technology-enac,https://www.nepalcomms.org/announcements,,
,GBV Data for Policy Intervention,,We want to train participants on the impact of data for effective program design that will affect policy intervention and  implementation.,,,,False,9.119194726,7.389727345,,"Soteria Aid and Development 
Precious Adigwe - adigweprecious6@gmail.com",Gwarinpa ,gbv-data-for-policy-intervention,https://bit.ly/GBVDATAFORPOLICYINTERVENTION,,
,Girlscoding4future,,Empower girls with technology information and how it can improve learning for there future,,,,False,35.06421,-84.703972,,"CHILD AND  YOUTH EMPOWENT ORGANIZATION  TANZANIA
fassot03@gmail.com
cayeoorg@gmail.com
",Old Maswa Bariadi -Tanzania,girlscoding4future,,,
,GSU Open Data Day,,To spread Geospatial awareness and demonstrate how Open Data and AI are transforming Agriculture. ,,,,False,20.43812,29.272579,,"GSU YouthMappers Chapter
youthmappers2022gsu@gmail.com
netteymadhinga@gmail.com","Gwanda State University- Epoch Mine Campus Filabusi, Zimbabwe",gsu-open-data-day,https://forms.gle/szoDQjH5Qhxkokh28,,
,GSU YOUTHMAPPERS OPEN DATA DAY,,Spreading Geospatial awareness and demonstrating how Open Data and AI are transforming Agriculture. ,,,,False,20.43812,29.272579,,"GSU YouthMappers Chapter
youthmappers2022gsu@gmail.com","Gwanda State University- Epoch Mine Campus, Filabusi",gsu-youthmappers-open-data-day,https://forms.gle/szoDQjH5Qhxkokh28,,
,Hackeando informações de Salvador: disponibilizar dados abertos pode revelar aspectos importantes sobre a cidade,,Show the importance of open data for civil society to monitor governments,,,,False,-12.98082,-38.45049,,Raul Hacker Club,Salvador - BA,hackeando-informacoes-de-salvador-disponibilizar-dados-abertos-pode-revelar-asp,,,
,International Open Data Day 2023,,To raise awareness on the importance of government open data,,,,False,13.756331,100.501762,,"Digital Government Development Agency, Tel +66800453373",bangkok,international-open-data-day-2023,,,
,International Open Data Day 2023 @ Yokohama City Hall ~ Open up the future of children and young people with open data and open innovation ~,,"This year's International Open Data Day was held under the theme of ""opening up the future for children and young people with open data and open innovation,"" and the basic strategy of the ""Mid-Term Plan 2022-2025"" was to create a town where people want to raise children and create the next generation. This will be an opportunity for various actors from the private sector, academia, industry, and government to engage in dialogue and exchange and collaborate on how to develop ""Yokohama, a city that nurtures together"" through public-private collaboration centered on open data and DX. .",,,,False,35.450559,139.63437,,Yokohama Community Design Lab,Yokohama City Hall & Online,international-open-data-day-2023-yokohama-city-hall-open-up-the-future-of-ch,https://peatix.com/event/3519303/,,
,International Open Data Day 2023 in EDOGAWA,,Promoting the use of open data in the medical and welfare field,,,,False,35.664928,139.8620973,,nakayama.keitarou@gmail.com,Edogawa,international-open-data-day-2023-in-edogawa,https://it-social.net/,,
,International Open Data Day 2023 in YAMATE,,Aiming to revitalize the Yamate region,,,,False,35.428856,139.658173,,YAMATE OPENTOWN,"Naka-ku, Yokohama-city, Kanagawa",international-open-data-day-2023-in-yamate,https://yamate.yokohama/,,
,International Open Data Day in Oita,,just do what you say and finally show what you done,,,,False,33.243229,131.5979,,Code for Oita,"Oita,Oita,Japan",international-open-data-day-in-oita,https://www.facebook.com/events/935612394123038?acontext=%7B%22event_action_history%22%3A[%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22left_rail%22%2C%22surface%22%3A%22bookmark%22%7D%2C%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22calendar_tab_event%22%2C%22surface%22%3A%22bookmark_calendar%22%7D]%2C%22ref_notif_type%22%3Anull%7D,,
,Introducing AI to Mathematics undergraduate students at Maseno University,,To spark interest in AI among mathematics students by showing ongoing AI projects,,,,False,-0.00442,34.598122,,"Maseno University, Department of Statistics and Actuarial Science",Kisumu,introducing-ai-to-mathematics-undergraduate-students-at-maseno-university,,,
,Introduction into CKAN,,Showcase the benefits of CKAN ,,,,False,33.0,33.0,,Taleatha.franks@linkdigital.com.au,Online,introduction-into-ckan,,,
,Introductory workshop on digital humanities for critic use of open data and artificial intelligence for Social research,,Call researchers from Human Sciences interested in using opendata sources with a digital humanities critical approach to artificial intelligence ,,,,False,19.3042,-99.10321,,Luis Miguel Sánchez Zoque luismsanchez (at) redhumus (dot) org,Mexico City,introductory-workshop-on-digital-humanities-for-critic-use-of-open-data-and-arti,https://redhumus.org/digitalhumanities,,
,Kids Indegenous Tree Map Connection,,Connecting kids with indegenous tree sarround our school with aid of GPS location.,,,,False,-2.80767,33.988129,,"Tumaini Fasso
fassot03@gmail.com ",Bariadi Tanzania,kids-indegenous-tree-map-connection,,,
,Lanzamiento del Visualizador de datos de Imputaciones y condenas,,Amplificar el acceso a la información y la transparencia sobre la totalidad de imputaciones y condenas registradas,,,,False,-34.901816,-56.189001,,Fiscalía General de la Nación,"Sede central de la Fiscalía General de la Nación, Paysandú 1283",lanzamiento-del-visualizador-de-datos-de-imputaciones-y-condenas,,,
,Lanzamiento del Visualizador del Balance Energético Nacional,,La Dirección Nacional de Energía (DNE) presentará una nueva herramienta para la visualización de datos de energía.,,,,False,-34.901112,-56.164532,,MIEM,Montevideo - Evento virtual,lanzamiento-del-visualizador-del-balance-energetico-nacional,https://www.gub.uy/agencia-gobierno-electronico-sociedad-informacion-conocimiento/comunicacion/calendario-actividades/lanzamiento-del-visualizador-del-balance-energetico-nacional,,
,Launching the new national open data portal,,A workshop will be organiser to present the new version of the national open data portal of Tunisia,,,,False,1.39003,74.802498,,Presidency of the Government of Tunisia-eGovernment Unit,Novotel Hotel,launching-the-new-national-open-data-portal,,,
,Launching the new national open data portal of Tunisia : data.gov.tn,,Presenting the new national open data portal developed by the presidency of the government,,,,False,48.55407,-1.5103,,Presidency of the Government-eGovernment Unit, Novotel hotel - Tunis,launching-the-new-national-open-data-portal-of-tunisia-data-gov-tn,,,
,Learn from the champions! Join the international showcases of fiscal data usage champions,,"Since its origins in 2017, over 25 events (Rallies or Dataquests) have been held in 13 different parts of the world, each with their own flavor and style thanks to the commitment and passion of visionary public officials and civil society organizations’ members. Nonetheless, the drive of these events are of course the participants. That’s why this year we’ll celebrate the winning teams from 2022 events in 2 online events where we will learn from 3 Asia based winners: Indonesia, Mongolia and the Philippines, as well from 4 Latin America based ones: Bogotá, Colombia; Chile (national level), Guanajuato State, Mexico; and Mexico (national level).   If you want to organize or participate in upcoming events in 2023, or you are simply an enthusiast of public budgets being used for public good and sustainable development, these events are for you!",,,,False,38.907192,-77.036873,,Global Initiative for Fiscal Transparency,Online,learn-from-the-champions-join-the-international-showcases-of-fiscal-data-usage,,,
,Leveraging AI in Healthcare in Morocco ,,AI and data-driven innovations will provide us with exponentially growing wealth of information. How can we inject this information into the clinical workflow to maximize its use? ,,,,False,33.5731104,-7.5898434,,"Impact for development
Impactfordevelopment@gmail.com",Online,leveraging-ai-in-healthcare-in-morocco,https://www.linkedin.com/posts/impact-for-development-ma_webinar-moroccoai-ai-activity-7034456302613356544-Tnfx?utm_source=share&utm_medium=member_android,,
,Leveraging Open Data for AI in Africa,,"To raise awareness and showcase success stories where open data has been used to create value, spur innovation, and drive economic growth.",,,,False,-25.746019,28.18712,,"Code for Africa
Contact: rose@codeforafrica.org",Online - Zoom,leveraging-open-data-for-ai-in-africa,https://us06web.zoom.us/j/84312684357?pwd=aDgwVldZNkRuNW9sdm9FWGZkUFppdz09,,
,Link Digital Open Data Day Celebration,,Celebration,,,,False,-35.280937,149.130005,,Taleatha Franks,Canberra ,link-digital-open-data-day-celebration,https://linkdigital.com.au/case-studies/,,
,Maai Makwa,,The Maai Makwa Day will be the culmination of the three-month long open data project to enable communities in Kenya's Athi River Basin to participate in water conservation and biodiversity preservation. ,,,,False,-1.261656132,36.68539307,,The Demography Project Community Based Organization,Kihumo Village,maai-makwa,https://maaimakwa.demographyproject.org,,
,mapping online media content using AI tools in Tanzania,,to raise knowledge on the available AI tools that can be used to improve online media content,,,,False,-2.51788,32.8991,,The Organization of Journalists Against Drugs abuse and Crimes in Tanzania(OJADACT); Organizer for event is Ms. Lucyphine Kilanga - lucyjuliusk@gmail.com,Mwanza,mapping-online-media-content-using-ai-tools-in-tanzania,,,
,Mapping Open Data Berlin (EN),,"We will be hearing about the potentials of open data, about platforms and applications, about Berlin’s energy consumption and the mapping of German villages that fell victim to mining and more. ",,,,False,52.48418172,13.38852896,,"Maptime Berlin, Open Data Informationsstelle Berlin, Technologiestiftung Berlin, CityLAB Berlin",CityLAB Berlin,mapping-open-data-berlin-en,https://citylab-berlin.org/de/events/maptime-berlin/,,
,Mapping school in Mugumu-Serengeti by using AI,,Sharing a knowledge with community on how they can use AI in mapping schools ,,,,False,-1.83793,34.67382,,"HERRY Kasunga,
herrykasunga88@gmail.com",Mugumu-Serengeti ,mapping-school-in-mugumu-serengeti-by-using-ai,,,
,Mapping with Artificial Intelligence for Disaster response,,Creating Open data with Artificial Intelligence tools to enhance disaster response specifically in areas prone to earthquakes.,,,,False,-8.151272,36.687261,,Erick Tamba Mnyali,"Ifakara, Morogoro",mapping-with-artificial-intelligence-for-disaster-response,https://tasks.hotosm.org/explore?campaign=Turkey%20and%20Syria%20Earthquake%20Response%20February%202023,,
,Mar de Datos 2023,,"This year the ODD aims to explore how AI and open data can contribute to innovation in the public, private and productive sectors and help reduce gender gaps.",,,,False,-37.996971,-57.549099,,Escuela de Fiscales,Mar del Plata,mar-de-datos-2023,https://bit.ly/ODD2023,,
,Mbuto Philémon ,,Assessing the impact of data in improving  the AI's result automation process - case of ChatGPT,,,,False,-1.692603,29.238165,,Act4Change RDC,City of Goma,mbuto-philemon,,,
,Nine years of open data,,Introduction to open data and the role that web scraping plays in its gathering,,,,False,57.148149,-2.101541,,Code The City,"Aberdeen, UK",nine-years-of-open-data,https://ti.to/code-the-city/apug-mar-2023,,
,NYC Open Data Week,,"Open Data Week is an annual festival of community-driven events organized and produced by the NYC Open Data Team at the Office of Technology and Innovation (OTI), BetaNYC and Data Through Design.  Every year, New Yorkers come together online and across the five boroughs to celebrate New York City’s Open Data Law, which was signed into law on March 7, 2012. Coincidentally, the first weekend of March is also International Open Data Day.  With these dates anchoring Open Data Week, we rally NYC’s civic tech and open data communities and offer opportunities for more people to learn about and engage with municipal open data.",,,,False,40.712776,-74.005974,,"NYC Open Data Team at the Office of Technology and Innovation
BetaNYC
Data Through Design

Contact us at team@open-data.nyc",New York City,nyc-open-data-week,https://open-data.nyc,,
,NYC School of Data,,"BetaNYC’s annual community conference invites New Yorkers to engage with the City’s technology, data and design communities during Open Data Week. ",,,,False,40.746429,-73.944069,,BetaNYC,New York City,nyc-school-of-data,https://schoolofdata.nyc,,
,ODD2023/ Opendata & AI meet-up in Togo,,The main goal of this meeting is to exchange on the potential of open data and artificial intelligence and how to use them to adress the daily challenges of our communities,,,,False,6.1913937,1.2595779,,A. Franck Akouete,"Lomé, Siege ISOC ",odd2023-opendata-ai-meet-up-in-togo,https://forms.gle/qBZEQG3EYuc3YFSU9,,
,Open Artificial Intelligence (AI) for Environmental Conservation ,,This event aims to teach participates how Open AI solutions like Climate AI and Global forest watch are used to track environmental challenges and help improve environmental conservation. ,,,,False,8.98909,7.46597,,Women Environmental Programme (WEP) Nigeria; Sammy Joel - for inquiry call: +234 8037471407. Email - sammyjoelpanwal@gmail.com ,"WEP Office - Anambra court by Gaduwa estate, Abuja - FCT - Nigeria ",open-artificial-intelligence-ai-for-environmental-conservation,https://tinyurl.com/2b84dhvh,,
,Open Data Day,,"Introduction to Open Data, examples, demos and discussion.",,,,False,49.00129,8.38357,,OK Lab Karlsruhe,"Karlsruhe, Germany",open-data-day,https://ok-lab-karlsruhe.de/en/projekte/odd/,,
,Open Data Day ,,,,,,False,58.599336,49.665831,,Kirov OpenSource Community,Kirov,open-data-day-2,https://vk.com/wall-192448749_303,,
,Open Data Day - Mogi das Cruzes 2023,,We hope to engage citizens and bring them next to us to discuss open data and tranform Mogi das Cruzes in a smart city.,,,,False,-23.52544,-46.187069,,Prefeitura de Mogi das Cruzes - Severino Netto (severinoneto@mogidascruzes.sp.gov.br),Mogi das Cruzes,open-data-day-mogi-das-cruzes-2023,https://mogi.city/odd23,,
