Place,URL,Latitude,Longitude,Program,Number of Participants,Organizers        ,
"Jakarta, Indonesia",http://labs.webfoundation.org/,-6.201136,106.825241,Open data sharing and gathering,20-30,Open Data Lab Jakarta,
Mechelen,http://www.mobielegidsen.be/hackathon/,51.02265,4.4872,Hackathon,50,Thomas More and Mobiele gidsen,
"Medellín, Colombia",,,,"Expedición de Datos , Workshop",45,,
"Jakarta, Indonesia",http://data.go.id,-6.1744,106.8294,"Indonesia Data Driven Journalism 2016. (Lightning Talk, Workshop, and Data Journalism Competition)",130,"One Data Indonesia, Aliansi Jurnalis Independen (aji.or.id), dan Jaringan Indonesia untuk Jurnalis (jaring.id)",
"Jeddah, Saudi Arabia",https://twitter.com/techniyacom/status/704575673088745473,21.4551226,39.7704093,Open Data Hackathon,~100,@techniyacom and @Badirprogram,
"Jena, Germany",https://www.offenes-jena.de,50.9289161,11.5823771,"Meeting with representatives from the city of Jena, the local transport companies and students",,,
"João Pessoa, Paraíba, Brazil",http://piratepad.net/ZjGOF63Wdk,-7.16138,-34.81834,"Talks, Hackaton",15,Grude PB,
"Kakegawa city, Japan",,34.768767,137.998168,,,Kakegawa city,
"Kampala, Uganda",www.fundafrica.blog.com,0.3136,32.5811,"Open Data, Worshop and Trainning ",30,Fund Africa Inc. ,
"Kathmandu, Nepal",http://opennepal.net/odd2016,27.6632761,85.3302838,"Open Data Hackathon, Policy Dialogue, Thematic Talk Show, Initiative Showcasing",500,"YoungInnovations, Open Nepal",
"Kathmandu, Nepal",http://np.okfn.org/,27.725443,85.3284831,- Presentation - Idea Discussion and Brainstorming - Hackathon - Data Collection / Data Party,50+,Open Knowledge Nepal,
"Kawasaki city, Japan",http://www.meetup.com/ja-JP/open_kawasaki/events/228129500/,35.530906,139.703051,"LocalWiki, workshop and trainning",,Open Kawasaki,
"Kimotsuki town, Japan",,31.344256,130.945079,,,Kimotsuki town office,
"Kimotsuki town, Japan",https://www.facebook.com/ojansenakamachi/posts/1517479528554993,31.347282,130.946678,"Workshop, Talks",15,C4K,
"Kobe city, Japan",,34.690083,135.195511,,,"Code for Kobe, Code for Hyogo, Linked Opendata Initiative",
"Kosai city, Japan",,34.718466,137.531626,,,OpenData Hamanako,
"Kurashiki city, Japan",,34.585013,133.772084,,,data CRADLE,
"Kurume city, Japan",https://www.city.kurume.fukuoka.jp/1500soshiki/9010jimukan/3010oshirase/2015-0514-1946-574.html,33.319286,130.508374,"Ideathon, Group Discussion   https://www.city.kurume.fukuoka.jp/1500soshiki/9010jimukan/3010oshirase/2016-0224-1048-14.html",50,Kurume OpenData Katsuyousuisin Kenkyuukai,
"Kyoto city, Japan",,35.011636,135.768029,"Wikipedia Town , OpenStreetMap mapping party",,OpenData Kyoto Jissenkai,
"L'Aquila, Italy",https://www.facebook.com/Asoc_osa-Open-Stadium-Acquasanta-1675138606036113/?fref=ts,,,"Open Data Day - Istituto Tecnico Industriale ""Amedeo d'Aosta"" - 1B Meccanica and 2A Liceo Scienze applicate",,Europe Direct Chieti and Europe Direct Teramo,
"La Paz, Bolvia ",http://oddboliva.acm-sim.org/,-16.51336,-68.12451,Keynotes open Data and Data Visualization ,~ 20,ACM-SIM,
"Lagos, Nigeria",,6.514231,3.364527,"- Workshop: Discuss about open Data sets, tools and innovative approaches to open data in Transportation system. Presentation -Idea conceptualization, braindstorming - Hackathon - Design a prototype App for Transport Tweetfeed. Data Collection / Data Party",50,"NIRA Office, 8, Funsho Willians Avenue, Iponri Surulere",#openlagos
"Lamachaur, Pokhara, Nepal",https://www.facebook.com/events/751780858254736/,28.2568,83.977,"There are events like mapathon, hackathon, talks, showcases, discussion sessions and geocaching.",,,
"Lecce, Italia",https://www.facebook.com/events/1508062059500446/,40.35759,18.17344,"Workshops : openData into Municipalities. Hackathons: openDataJournalism, openStreetMap and Mapillary, openGeoData",200,City of Lecce and Apulian Regional Partnership,
"León, México",https://www.facebook.com/events/433929080149989/,21.142514,-101.694339,"Talk: What is open data and why shoud I care? Workshops OpenRefine, R-RStudio",~20,"CodeandoMéxico, Tepache Hacklab",
"Lima, Perú",odd15.odpe.org,-12.0433,-77.0867516,"Talks, workshops and hackathon",40 +,ODPE,
"Locri, Calabria, Italy",https://www.facebook.com/People-of-tomorrow-151882308507920/,38.241971,16.267819,"Monithon Calabria, Europe direct and team ""People of Tomorrow"" present ""Open Data Day: a didactic path to discover the transparency of PA and Open Data""",150,"Team People Of Tomorrow Liceo scientifico ""Zaleuco"" Locri, Europe direct, Monithon Calabria",
"locri, Italy",http://www.eurokomonline.eu/,,,"- Workshop: Discuss about open Data sets, tools and innovative approach in pubblic amministration . Presentation -Idea conceptualization, braindstorming - Hackathon - Design a prototype App for European communication . / Data Pary",,"associazioneeurokom@tiscali.it, zaleuco@epizefiri.it, monithoncalabria, FimminaTv, coim Idea, ",
"Loja, Ecuador",http://ambar.utpl.edu.ec/,-4.0078907,-79.2112769,"Hackathon ""Ámbar 2016"". Open Data about Smart Land for LatAm with emphasis in High Biodiversity Territories",60,"@ambar_LODP, @Serendipity_Go, @UTPL, @dbpedia_latam, @nopiedra",
"Loja, Ecuador",http://data.utpl.edu.ec/serendipity/oar/sparql,-4.0078908,-79.2112769,Serendipity Open Access Repositories - Phase 1: Ecuadorian Digital Repositories. Linked Open Data about Open Access Repositories and OERs in LatAm. Sparql EndPoint: http://data.utpl.edu.ec/serendipity/oar/sparql; Graph: http://data.utpl.edu.ec/serendipity/oar,50,"@ambar_LODP, @Serendipity_Go, @UTPL, @dbpedia_latam, @nopiedra",
"Loja, Ecuador",http://data.utpl.edu.ec/ambar/SCI_LatAm,-4.0078909,-79.2112769,Scientific Publications - Phase 1: Ecuadorian Academic Documents indexed in SCOPUS and GoogleScholar. Linked Open Data about Scientific Documents produced by researchers from LatAm. Sparql EndPoint: http://data.utpl.edu.ec/ambar/sparql; Graph: http://data.utpl.edu.ec/ambar/SCI-LatAm,50,"@ambar_LODP, @Serendipity_Go, @UTPL, @dbpedia_latam, @nopiedra",
London,https://discuss.okfn.org/t/open-data-day-london-2016/1929,51.5250934,-0.0712431,Tax Justice and openness generally,80,Open Knowledge England,
"Louisville, KY, USA",http://www.meetup.com/Louisville-Civic-Data-Alliance/events/228640160/,38.2540261,-85.7506165,Hackathon and Smart Louisville city partnership projects,50,Civic Data Alliance (Code for America Brigade),
"Luxembourg City, Luxembourg",http://opendataday.lu,49.6269,6.15922,Hackathon,~30,"SnT, University of Luxembourg.",
"Macomer, Italy",,40.263,8.7709,Project Presentation and debate,100,"Digital Minds in Progress, ISS S. Satta",
"Madrid, Spain",http://hackaton.okfn.es,40.41044,-3.69406,Open Data Hackathon,50,"Journocoders Madrid, Open Knowledge Spain, Medialab-Prado",
Manila Philippines,https://www.facebook.com/ODDPH2016/,14.5623,121.022,"talks, workshop, keynote",100 plus,Open Knowledge Philippines,
"Matsudo city, Japan",,35.787649,139.903093,Making guidemaps for Sakura festival making use of Jauntful.,10,Code for Matsudo,
"Matsue city, Japan",,35.468059,133.048375,,,Shimane Univ. Ruby.OS project center,
"Matsumoto city, Japan",,36.238038,137.972034,,,Co-working space Knower(s),
"Melbourne, Australia",http://sciencehackau.github.io/melbourne/,-37.814396,144.963616,Melbourne Science Hackfest,,,
Mexico City,www.socialtic.org,19.412084,-99.180576,"Data Expeditions, Trainings and Project Presentations",100,"SocialTIC, Centraal, Google Devs",
"Milano, Italy",www.europedirect.regione.lombardia.it,45.486753,9.196116,"Open data Day with Europe Direct Lombardia, Regione Lombardia e students of ""A scuola di OpenCoesione"" from Varese, Milano e Brescia",120,Europe Direct Lombardia,
"Minamisouma city, Japan",,37.642161,140.957276,,,,
"Minsk, Belarus",http://opendata.by,53.902257,27.561831,"At least online project presentations, incl. Awards Policy Monitoring (http://nagrady.by) and some research findings from data expeditions into crime and government email security data.",,Belarus Open Data Community,
"Miyagi pref., Japan",,38.268837,140.8721,,,"Miyagi pref, Miyagi mobile business kenkyuukai",
"Modena, Italy",www.dbgroup.unimore.it/opendataday,44.628925,10.949307,Open Data Day @TecnopoloModena - Presentation - Idea Discussion and Brainstorming ,,,
"Monte Sant'Angelo (Fg), Italy",https://www.facebook.com/Underground-725151877629580/,41.70544,15.967657,#EsciiDati  Monte Sant'Angelo negli open data,120,Classe 3A Classico - Istituto Superiore G. T. Giordani - http://www.giordani.gov.it,
"Monterrey, México",https://www.facebook.com/events/1175468665820915/,25.646729,-100.323591,Open Data Day @El Cowork - Codeando Monterrey,30,Codeando México | Codeando Monterrey,
"Montevideo, Uruguay",http://www.meetup.com/es-ES/Cafes-de-DATA/events/228984147/?eventId=228984147&chapter_analytics_code=UA-34702401-4,-34.904051,-56.200659,"Café de DATA, reuse data on energy efficiency of home appliances",~ 20,DATA Uruguay,
"Montréal, Québec, Canada",http://wiki.opendataday.org/MONTREAL2016i,45.52687,-73.59544,Autoportrait du milieu montréalais des données ouvertes,,"Nord Ouvert, MTL Data, FACIL",
"Moscow, Russia",https://www.facebook.com/events/497816503734923/,55.756001,37.643255,,,"OKF Russia, NGO ""Infoculture"", Teplitsa. Technologies for Social Good",
"Muko city, Japan",,34.948736,135.698288,,,OpenStreetMap Kansai,
"München, Germany",http://www.meetup.com/de-DE/code-for-muenchen/events/228582096/,48.143555,11.557868,Hackathon,,Code for München und die Stadt München,
"Munich, Germany",http://www.meetup.com/de-DE/code-for-muenchen/events/228582096/,48.135125,11.581981,Keynote and Hackathon,~50,,
"Münster, Germany",http://codeformuenster.org/opendataday/,51.962944,7.628694,"Talks, Hackaton",~ 20,Code for Münster,
"Muroran city, Japan",,42.315231,140.973799,,,Code for Muroran,
"Nagano city, Japan",,36.64855,138.194243,,,Code for Nagano,
